idCohorte,codigo,idCarrera,idInstructor,fechaInicio,fechaFinalizacion
1235,FT-1235,1,1,2020-02-01,2020-06-30
1236,FT-1236,1,2,2020-04-05,2020-08-31
1237,FT-1237,1,1,2021-07-05,2021-11-30
1238,FT-1238,1,2,2021-09-06,2022-01-31
1239,FT-1239,1,3,2022-01-10,NULL
1240,FT-1240,1,4,2022-02-07,NULL
1241,FT-1241,1,5,2022-03-07,NULL
1242,DS-1242,2,6,2022-03-28,NULL
1243,FT-1243,1,1,2022-04-04,NULL
1244,DS-1244,2,8,2022-05-02,NULL
1245,FT-1245,1,2,2022-05-02,NULL
1246,DS-1246,2,7,2022-07-04,NULL
1247,FT-1235,1,1,2020-02-01,2020-06-30
